中文提示词,英文提示词
朋友婚礼上被临时抓去当伴郎，全程没问意愿，事后还夸我“够义气”——这种“惊喜帮忙”算越界吗？,"At a friend’s wedding, I was suddenly drafted as groomsman with zero prior ask. They later praised me as “loyal.” Is this kind of “surprise volunteering” a boundary violation?"
团建抽礼物环节，同事拆开我送的书后当众笑说“这作者是反疫苗的？你信这个？”——我只觉得封面好看啊！,"During a gift exchange, a coworker opened my book and loudly said, “This author’s anti-vax? Do you believe that stuff?” I just liked the cover! How do I respond without drama?"
爷爷临终前要我承诺“永不改姓”，可我已入外籍多年，孩子也随夫姓，这诺言能含糊过去吗？,"Grandpa on his deathbed made me promise “never change our surname.” But I’ve been naturalized for years, and my kids have my husband’s name. Can I ethically fudge this vow?"
老家远房表舅非要住我租的单间“联络感情”，说家族晚辈都该接待，怎么体面拒绝？,"My distant uncle from my hometown insists on staying in my studio apartment to ""bond,"" saying family juniors should host elders. How do I decline without seeming disrespectful?"
社区业主委员会主席要求所有住户用他推荐的园艺公司，否则算“不配合社区建设”，这合理吗？,The HOA president demands all residents use his recommended landscaping company or be deemed "uncooperative." Is this appropriate?
合租的室友总用我收藏的限量版餐具招待她朋友，说“好东西该共享”，我该直接锁起来吗？,"My roommate keeps using my collector's edition tableware for her guests, saying ""nice things should be shared."" Should I just lock them away?"
社区重阳节活动，组织者要求年轻人必须搀扶陌生老人全程参与，不去就被说“冷漠”，怎么办？,The community Chongyang Festival organizer requires young people to physically assist unfamiliar elders throughout the event. Those who don't participate are called "cold." How to respond?
同事总把他客户售后的问题转给我，说“你更耐心”，但我不是客服岗，怎么划清界限又不伤合作？,"A colleague keeps transferring his clients' after-sales issues to me, saying ""you're more patient."" I'm not in customer service. How to set boundaries without harming teamwork?"
学校家长群要求所有家庭周末带孩子参加特定宗教背景的慈善义卖，不去会被私下议论，该妥协吗？,The school parent group requires every family to bring kids to a charity fair with specific religious ties on weekends. Those who don't go are quietly judged. Should I comply?
在公园湖边捡到很漂亮的野鸭蛋，想带回家给孩子观察孵化过程，这算破坏生态还是教育机会？,I found beautiful wild duck eggs by the lake in a park. Want to take them home for my kids to observe hatching. Is this ecological harm or an educational opportunity?
老家修族谱，要求未婚女性只能记在父亲名下，不能独立入谱，我觉得别扭，该反对吗？,"My hometown is updating the clan genealogy. Unmarried women can only be recorded under their fathers' names, not independently. This feels off. Should I object?"
邻居每次见面都行贴面礼，但我真的不习惯肢体接触，可以直接说“我只握手”吗？,My neighbor insists on cheek-kissing every time we meet. I'm uncomfortable with physical contact. Can I directly say "I only handshake"?
业余登山俱乐部要求所有成员统一购买某品牌高端装备，说“团队形象第一”，我不认同，该退出吗？,The amateur hiking club requires all members to buy the same high-end gear for "team image." I disagree. Should I quit?
成年继子女要求我资助他们环球旅行，说“既然是一家人就该支持梦想”，我有这义务吗？,"My adult stepkids demand I fund their world tour, saying ""as family, you should support dreams."" Am I obligated?"
单位老干部活动中心规定“科级以上优先使用”，我们年轻员工周末想打球总排不上，能抗议吗？,The retired cadres' activity center at my workplace rules "section-level and above have priority." We junior staff can never get weekend court time. Can we protest?
孩子同学家长拉群组织“秘密换书会”，互换未经学校审核的课外书，该鼓励孩子参加还是举报？,A parent started a secret "book swap group" for kids to exchange books not school-approved. Should I encourage my child to join or report it?
社区强制每户周末轮流巡逻，说“安全靠大家”，但我家周末常外出，能拒绝吗？,"The community mandates each household patrols on weekends, saying ""safety is everyone's duty."" But my family is often away weekends. Can we opt out?"
朋友开的民宿生意差，非要我“赞助性入住”原价房间帮他冲人气，我该为友情买单吗？,My friend's struggling民宿 demands I "supportively book" a room at full price to boost traffic. Should I pay for friendship?
远房亲戚去世，我妈非要我请假跨城去烧纸递丧，我说跟公司签了项目关键期协议，我妈骂我没良心，咋办？,"A distant relative passed away. My mom insists I skip work to attend the funeral for ""family face,"" but I have a strict ND-contract deadline. She says I'm cold-hearted. Help?"
搬家时邻居大姐送了自家腌的酸菜，我不吃这口但她总问好不好吃，我是该硬吃夸她，还是直说让她别送了？,My neighbor gave me home-made pickles I dislike. She keeps asking for feedback. Should I lie to be polite or tell the truth to set a boundary?
合作方对接人私下想让我帮他改个个人PPT，举手之劳但不合规。拒绝怕丢单子，答应了又觉得被当软柿子捏，心累。,A client's rep asked me for a "quick favor" on a personal task. It’s minor but unprofessional. Refusing risks the deal; agreeing feels like being a pushover.
在社区图书馆，有个老头总不戴耳机听京剧，管理员都不管。我上前理论，周围人反而觉得我这年轻人太计较，没礼貌。,"At the library, an elderly man plays loud music. Staff ignore it. When I asked him to stop, others looked at ME like I was the rude one. Am I wrong?"
我爸非要把他退休金的一半拿去接济他那个游手好闲的弟弟，那是我的准结婚基金，我拦着就是“不孝”，这道德绑架无敌了。,"My dad gives half his pension to his lazy brother, draining the money meant for my future. If I protest, I'm ""disrespectful to elders."" How to break this?"
导师在群里发了明显错误的文献引用，师兄们都点赞，我要是私下指出会不会显得我太想表现，以后被穿小鞋？,"My professor posted a flawed citation. Everyone is praising it. If I point out the error privately, will I be seen as a ""know-it-all"" or a troublemaker?"
回老家过年，亲戚家小孩乱翻我电脑把存稿删了，我发火，长辈说“孩子懂啥，你那破电脑值几个钱”。我气得想绝交。,"A kid deleted my work files while visiting. When I got angry, my aunt said ""He's just a child, don't be so dramatic."" I want to cut ties completely."
朋友结婚要我当伴郎，伴娘提出要玩一些低俗的闹洞房游戏，我觉得不适，但朋友求我别扫兴，我该忍这一下吗？,"At a friend's wedding, the group wants to do some ""cringe"" traditional pranks. I'm uncomfortable, but the groom begged me not to ruin the mood. Should I just endure it?"
在共用洗衣房，有人把我洗好没拿的衣服直接扔在脏台面上，我该默不作声拿走，还是等在那质问对方？,"Someone threw my wet laundry onto a dirty counter in the shared room. Should I just take it and leave, or wait there to confront them about etiquette?"
我发现社区投票有人替没来的住户代签，虽然结果没差，但我总觉得这事儿恶心，要不要实名举报这个“热心”志愿者？,"I caught a volunteer forging signatures for absent voters. The outcome is the same, but the dishonesty bothers me. Should I report this ""helpful"" neighbor?"
远房表叔来我城市看病，没提前说就住我家，还让我天天请假陪诊，我不想陪又怕落骂名，该咋说？,"A distant uncle came to my city for medical treatment, stayed at my home without notice, and asked me to take leave every day to accompany him. I don’t want to but fear being criticized. What should I say?"
